k_index,band_index,k_distance,energy_eV,weight
0,0,0.00000000,-12.174008,1.14895951e-04
1,0,0.06074799,-12.161831,3.56860368e-04
2,0,0.12149598,-12.125518,1.07579453e-03
3,0,0.18224397,-12.065039,2.25006061e-03
4,0,0.24299205,-11.980516,3.84435297e-03
5,0,0.30373983,-11.871987,5.81011287e-03
6,0,0.36448784,-11.739760,8.08981054e-03
7,0,0.42523585,-11.583992,1.06148142e-02
8,0,0.48598386,-11.404888,1.33096187e-02
9,0,0.54673188,-11.202855,1.60952547e-02
10,0,0.60747989,-10.978205,1.88892895e-02
11,0,0.66822790,-10.731338,2.16092756e-02
12,0,0.72897591,-10.462806,2.41773632e-02
13,0,0.78972392,-10.173086,2.65192286e-02
14,0,0.85047193,-9.862951,2.85675606e-02
15,0,0.91121971,-9.532994,3.02635768e-02
16,0,0.97196773,-9.184204,3.15629723e-02
17,0,1.03271574,-8.817441,3.24306203e-02
18,0,1.09346375,-8.433770,3.28449236e-02
19,0,1.15421176,-8.034362,6.55326149e-02
20,0,1.15421176,-8.034362,6.55324827e-02
21,0,1.18458576,-8.033320,6.53927669e-02
22,0,1.21495976,-8.030216,6.49752908e-02
23,0,1.24533376,-8.025095,6.42606193e-02
24,0,1.27570776,-8.018102,6.33132155e-02
25,0,1.30608176,-8.009363,6.21400227e-02
26,0,1.33645576,-7.999066,6.07587989e-02
27,0,1.36682976,-7.987477,5.92970028e-02
28,0,1.39720381,-7.974810,5.77844654e-02
29,0,1.42757781,-7.961386,5.60048267e-02
30,0,1.45795159,-7.947528,5.51187242e-02
31,0,1.48832560,-7.933662,5.32535814e-02
32,0,1.51869960,-7.920150,5.12047232e-02
33,0,1.54907361,-7.907380,4.82557002e-02
34,0,1.57944761,-7.895736,4.27357225e-02
35,0,1.60982162,-7.885624,2.97164138e-02
36,0,1.64019563,-7.877365,8.87981811e-03
37,0,1.67056963,-7.871244,1.36547949e-03
38,0,1.70094364,-7.867476,1.09012178e-04
39,0,1.73131764,-7.866182,7.08013234e-05
40,0,1.73131764,-7.866182,7.08561776e-05
41,0,1.75279515,-7.924879,4.38361351e-02
42,0,1.77427297,-7.980461,4.22147122e-02
43,0,1.79575048,-8.032927,4.05707529e-02
44,0,1.81722830,-8.082250,3.89090723e-02
45,0,1.83870581,-8.128431,3.72345090e-02
46,0,1.86018364,-8.171462,3.55517362e-02
47,0,1.88166114,-8.211334,3.38654846e-02
48,0,1.90313897,-8.248035,3.21804162e-02
49,0,1.92461647,-8.281571,3.05007510e-02
50,0,1.94609430,-8.311938,2.88314758e-02
51,0,1.96757180,-8.339113,2.71759823e-02
52,0,1.98904963,-8.363101,2.55388929e-02
53,0,2.01052713,-8.383910,2.39248940e-02
54,0,2.03200496,-8.401513,2.23368455e-02
55,0,2.05348246,-8.415920,2.07791654e-02
56,0,2.07496029,-8.427121,1.92549877e-02
57,0,2.09643779,-8.435128,1.77690973e-02
58,0,2.11791562,-8.439933,1.63243050e-02
59,0,2.13939312,-8.441535,1.49241413e-02
60,0,2.13939312,-8.441535,1.49241386e-02
61,0,2.20382612,-8.639944,6.94045081e-03
62,0,2.26825912,-8.879154,2.15505930e-03
63,0,2.33269211,-9.149303,1.96283666e-04
64,0,2.39712495,-9.438544,1.77901265e-04
