k_index,band_index,k_distance,energy_eV,weight
0,0,0.00000000,-12.174008,8.56714697e-05
1,0,0.06074799,-12.161831,1.09238078e-04
2,0,0.12149598,-12.125518,9.03141507e-04
3,0,0.18224397,-12.065039,2.43862120e-03
4,0,0.24299205,-11.980516,4.66347317e-03
5,0,0.30373983,-11.871987,7.50264868e-03
6,0,0.36448784,-11.739760,1.08658522e-02
7,0,0.42523585,-11.583992,1.46432849e-02
8,0,0.48598386,-11.404888,1.87130285e-02
9,0,0.54673188,-11.202855,2.29470279e-02
10,0,0.60747989,-10.978205,2.72107202e-02
11,0,0.66822790,-10.731338,3.13689690e-02
12,0,0.72897591,-10.462806,3.52947584e-02
13,0,0.78972392,-10.173086,3.88663596e-02
14,0,0.85047193,-9.862951,4.19739044e-02
15,0,0.91121971,-9.532994,4.45208315e-02
16,0,0.97196773,-9.184204,4.64389734e-02
17,0,1.03271574,-8.817441,4.76733451e-02
18,0,1.09346375,-8.433770,4.81918469e-02
19,0,1.15421176,-8.034362,9.87387975e-02
20,0,1.15421176,-8.034362,9.87387646e-02
21,0,1.18458576,-8.033320,9.79464353e-02
22,0,1.21495976,-8.030216,9.58867263e-02
23,0,1.24533376,-8.025095,9.25077354e-02
24,0,1.27570776,-8.018102,8.80437231e-02
25,0,1.30608176,-8.009363,8.25418449e-02
26,0,1.33645576,-7.999066,7.61153789e-02
27,0,1.36682976,-7.987477,6.91650099e-02
28,0,1.39720381,-7.974810,6.18531874e-02
29,0,1.42757781,-7.961386,5.38273759e-02
30,0,1.45795159,-7.947528,4.77202039e-02
31,0,1.48832560,-7.933662,3.96964250e-02
32,0,1.51869960,-7.920150,3.19901792e-02
33,0,1.54907361,-7.907380,2.40476600e-02
34,0,1.57944761,-7.895736,1.63217274e-02
35,0,1.60982162,-7.885624,1.21502924e-02
36,0,1.64019563,-7.877365,2.29690563e-02
37,0,1.67056963,-7.871244,3.57016334e-02
38,0,1.70094364,-7.867476,4.10808243e-02
39,0,1.73131764,-7.866182,4.19749718e-02
40,0,1.73131764,-7.866182,4.19747488e-02
41,0,1.75279515,-7.924879,2.22830878e-02
42,0,1.77427297,-7.980461,2.21269863e-02
43,0,1.79575048,-8.032927,2.19725157e-02
44,0,1.81722830,-8.082250,2.18216145e-02
45,0,1.83870581,-8.128431,2.16748679e-02
46,0,1.86018364,-8.171462,2.15332629e-02
47,0,1.88166114,-8.211334,2.13977662e-02
48,0,1.90313897,-8.248035,2.12694060e-02
49,0,1.92461647,-8.281571,2.11486419e-02
50,0,1.94609430,-8.311938,2.10371791e-02
51,0,1.96757180,-8.339113,2.09341542e-02
52,0,1.98904963,-8.363101,2.08409512e-02
53,0,2.01052713,-8.383910,2.07572959e-02
