k_index,band_index,k_distance,energy_eV,weight
0,0,0.00000000,-12.174008,1.97820957e-02
1,0,0.06074799,-12.161831,1.98826862e-02
2,0,0.12149598,-12.125518,2.01794732e-02
3,0,0.18224397,-12.065039,2.06774289e-02
4,0,0.24299205,-11.980516,2.13812731e-02
5,0,0.30373983,-11.871987,2.22988212e-02
6,0,0.36448784,-11.739760,2.34353812e-02
7,0,0.42523585,-11.583992,2.48018186e-02
8,0,0.48598386,-11.404888,2.64101492e-02
9,0,0.54673188,-11.202855,2.82689667e-02
10,0,0.60747989,-10.978205,3.03920785e-02
11,0,0.66822790,-10.731338,3.27923289e-02
12,0,0.72897591,-10.462806,3.54831925e-02
13,0,0.78972392,-10.173086,3.84795518e-02
14,0,0.85047193,-9.862951,4.17930776e-02
15,0,0.91121971,-9.532994,4.54406608e-02
16,0,0.97196773,-9.184204,4.94348545e-02
17,0,1.03271574,-8.817441,5.37916684e-02
18,0,1.09346375,-8.433770,5.85278342e-02
19,0,1.15421176,-8.034362,1.11354283e-09
20,0,1.15421176,-8.034362,2.11284795e-09
21,0,1.18458576,-8.033320,7.60678295e-05
22,0,1.21495976,-8.030216,3.03044603e-04
23,0,1.24533376,-8.025095,7.24733499e-04
24,0,1.27570776,-8.018102,1.26415344e-03
25,0,1.30608176,-8.009363,1.94224327e-03
26,0,1.33645576,-7.999066,2.76743377e-03
27,0,1.36682976,-7.987477,3.59773235e-03
28,0,1.39720381,-7.974810,4.43116424e-03
29,0,1.42757781,-7.961386,5.64456229e-03
30,0,1.45795159,-7.947528,5.49867469e-03
31,0,1.48832560,-7.933662,6.96119262e-03
32,0,1.51869960,-7.920150,8.94373980e-03
33,0,1.54907361,-7.907380,1.29674489e-02
34,0,1.57944761,-7.895736,2.28438460e-02
35,0,1.60982162,-7.885624,5.06721755e-02
36,0,1.64019563,-7.877365,1.00567358e-01
37,0,1.67056963,-7.871244,1.20771017e-01
38,0,1.70094364,-7.867476,1.24790015e-01
39,0,1.73131764,-7.866182,1.24968953e-01
40,0,1.73131764,-7.866182,1.24968939e-01
41,0,1.75279515,-7.924879,1.80634982e-02
42,0,1.77427297,-7.980461,1.78525659e-02
43,0,1.79575048,-8.032927,1.76573067e-02
44,0,1.81722830,-8.082250,1.74800288e-02
45,0,1.83870581,-8.128431,1.73180782e-02
46,0,1.86018364,-8.171462,1.71705915e-02
47,0,1.88166114,-8.211334,1.70367853e-02
48,0,1.90313897,-8.248035,1.69162408e-02
49,0,1.92461647,-8.281571,1.68078204e-02
50,0,1.94609430,-8.311938,1.67110673e-02
51,0,1.96757180,-8.339113,1.66258898e-02
52,0,1.98904963,-8.363101,1.65516805e-02
53,0,2.01052713,-8.383910,1.64884089e-02
54,0,2.03200496,-8.401513,1.64351448e-02
55,0,2.05348246,-8.415920,1.63919280e-02
56,0,2.07496029,-8.427121,1.63590740e-02
57,0,2.09643779,-8.435128,1.63353762e-02
58,0,2.11791562,-8.439933,1.63212815e-02
59,0,2.13939312,-8.441535,1.63165038e-02
60,0,2.13939312,-8.441535,1.63165064e-02
61,0,2.20382612,-8.639944,2.33144100e-02
62,0,2.26825912,-8.879154,2.99865166e-02
63,0,2.33269211,-9.149303,3.52947021e-02
64,0,2.39712495,-9.438544,3.87533963e-02
65,0,2.46155794,-9.736095,4.03816282e-02
66,0,2.52599094,-10.033039,4.04711982e-02
67,0,2.59042394,-10.322529,3.94163714e-02
68,0,2.65485693,-10.599298,3.75956941e-02
69,0,2.71928993,-10.859598,3.53292753e-02
70,0,2.78372276,-11.100614,3.28666123e-02
71,0,2.84815576,-11.320138,3.03970926e-02
72,0,2.91258876,-11.516590,2.80536207e-02
73,0,2.97702175,-11.688792,2.59266839e-02
74,0,3.04145475,-11.835792,2.40786194e-02
75,0,3.10588775,-11.956914,2.25419252e-02
76,0,3.17032058,-12.051610,2.13356015e-02
77,0,3.23475363,-12.119498,2.04737695e-02
78,0,3.29918661,-12.160320,1.99564787e-02
79,0,3.36361957,-12.174008,1.97820946e-02
80,0,3.36361957,-12.174008,1.97820952e-02
81,0,3.41622887,-12.164855,1.99397936e-02
82,0,3.46883817,-12.137635,2.04072795e-02
83,0,3.52144747,-12.092341,2.11851056e-02
84,0,3.57405686,-12.029118,2.22684992e-02
85,0,3.62666598,-11.948130,2.36533088e-02
86,0,3.67927530,-11.849741,2.53029193e-02
87,0,3.73188462,-11.734281,2.71840984e-02
88,0,3.78449394,-11.602234,2.92302420e-02
89,0,3.83710326,-11.454415,3.13318352e-02
90,0,3.88971258,-11.291718,3.33283754e-02
91,0,3.94232191,-11.115499,3.49819319e-02
92,0,3.99493123,-10.927719,3.59534427e-02
93,0,4.04754055,-10.731246,3.57734944e-02
94,0,4.10014987,-10.530251,3.38567861e-02
95,0,4.15275899,-10.331492,2.95298677e-02
96,0,4.20536831,-10.145155,2.23547762e-02
97,0,4.25797763,-9.986820,1.29056667e-02
98,0,4.31058696,-9.877355,3.89209033e-03
99,0,4.36319628,-9.837738,5.97790652e-10
0,1,0.00000000,-0.221237,9.06144442e-01
1,1,0.06074799,-0.304028,2.91543977e-01
2,1,0.12149598,-0.533108,2.67600540e-01
3,1,0.18224397,-0.861308,2.41377433e-01
4,1,0.24299205,-1.249585,2.17952083e-01
5,1,0.30373983,-1.673052,1.98077746e-01
6,1,0.36448784,-2.117453,1.81189414e-01
7,1,0.42523585,-2.574406,1.66561602e-01
8,1,0.48598386,-3.038851,1.53616227e-01
9,1,0.54673188,-3.507869,1.41959608e-01
10,1,0.60747989,-3.979083,1.31310103e-01
11,1,0.66822790,-4.451056,1.21484469e-01
12,1,0.72897591,-4.921378,1.12359803e-01
13,1,0.78972392,-5.388366,1.03849705e-01
14,1,0.85047193,-5.851013,9.59190975e-02
15,1,0.91121971,-6.307241,8.85161118e-02
16,1,0.97196773,-6.755448,8.16128755e-02
17,1,1.03271574,-7.193728,7.51831958e-02
18,1,1.09346375,-7.620536,6.92054736e-02
19,1,1.15421176,-8.034362,1.27319815e-01
20,1,1.15421176,-8.034362,1.27319814e-01
21,1,1.18458576,-8.033320,1.27235032e-01
22,1,1.21495976,-8.030216,1.26981681e-01
23,1,1.24533376,-8.025095,1.26515436e-01
24,1,1.27570776,-8.018102,1.25912110e-01
25,1,1.30608176,-8.009363,1.25149885e-01
26,1,1.33645576,-7.999066,1.24219351e-01
