k_index,band_index,k_distance,energy_eV,weight
0,0,0.00000000,-12.174008,8.56714757e-05
1,0,0.06074799,-12.161831,8.36551977e-04
2,0,0.12149598,-12.125518,2.34287289e-03
3,0,0.18224397,-12.065039,4.56071164e-03
4,0,0.24299205,-11.980516,7.42377377e-03
5,0,0.30373983,-11.871987,1.08439988e-02
6,0,0.36448784,-11.739760,1.47196467e-02
7,0,0.42523585,-11.583992,1.89309928e-02
8,0,0.48598386,-11.404888,2.33482055e-02
9,0,0.54673188,-11.202855,2.78375213e-02
10,0,0.60747989,-10.978205,3.22609532e-02
11,0,0.66822790,-10.731338,3.64822728e-02
12,0,0.72897591,-10.462806,4.03759600e-02
13,0,0.78972392,-10.173086,4.38243375e-02
14,0,0.85047193,-9.862951,4.67230516e-02
15,0,0.91121971,-9.532994,4.89854452e-02
16,0,0.97196773,-9.184204,5.05507783e-02
17,0,1.03271574,-8.817441,5.13780807e-02
18,0,1.09346375,-8.433770,5.14486729e-02
19,0,1.15421176,-8.034362,9.87388996e-02
20,0,1.15421176,-8.034362,9.87389463e-02
21,0,1.18458576,-8.033320,9.82417306e-02
22,0,1.21495976,-8.030216,9.64614704e-02
23,0,1.24533376,-8.025095,9.33548974e-02
24,0,1.27570776,-8.018102,8.91092533e-02
25,0,1.30608176,-8.009363,8.37806411e-02
26,0,1.33645576,-7.999066,7.74717158e-02
27,0,1.36682976,-7.987477,7.05654732e-02
28,0,1.39720381,-7.974810,6.32338079e-02
29,0,1.42757781,-7.961386,5.51181197e-02
30,0,1.45795159,-7.947528,4.88804705e-02
31,0,1.48832560,-7.933662,4.06903677e-02
32,0,1.51869960,-7.920150,3.26865491e-02
33,0,1.54907361,-7.907380,2.45897657e-02
34,0,1.57944761,-7.895736,1.64942084e-02
35,0,1.60982162,-7.885624,1.16716937e-02
36,0,1.64019563,-7.877365,2.20458025e-02
37,0,1.67056963,-7.871244,3.47928165e-02
38,0,1.70094364,-7.867476,4.04308277e-02
39,0,1.73131764,-7.866182,4.14004444e-02
40,0,1.73131764,-7.866182,4.14005409e-02
41,0,1.75279515,-7.924879,2.15770037e-02
42,0,1.77427297,-7.980461,2.13741828e-02
43,0,1.79575048,-8.032927,2.11746255e-02
44,0,1.81722830,-8.082250,2.09805396e-02
45,0,1.83870581,-8.128431,2.07927394e-02
46,0,1.86018364,-8.171462,2.06124317e-02
47,0,1.88166114,-8.211334,2.04407887e-02
48,0,1.90313897,-8.248035,2.02789565e-02
49,0,1.92461647,-8.281571,2.01277420e-02
50,0,1.94609430,-8.311938,1.99889501e-02
51,0,1.96757180,-8.339113,1.98618610e-02
52,0,1.98904963,-8.363101,1.97480085e-02
53,0,2.01052713,-8.383910,1.96473646e-02
54,0,2.03200496,-8.401513,1.95619207e-02
55,0,2.05348246,-8.415920,1.94914998e-02
56,0,2.07496029,-8.427121,1.94364003e-02
57,0,2.09643779,-8.435128,1.93971970e-02
58,0,2.11791562,-8.439933,1.93739950e-02
59,0,2.13939312,-8.441535,1.93670560e-02
60,0,2.13939312,-8.441535,1.93670509e-02
61,0,2.20382612,-8.639944,8.01720786e-03
62,0,2.26825912,-8.879154,1.84070406e-03
63,0,2.33269211,-9.149303,7.14170306e-06
64,0,2.39712495,-9.438544,9.60632837e-04
65,0,2.46155794,-9.736095,3.22291608e-03
66,0,2.52599094,-10.033039,5.73918750e-03
67,0,2.59042394,-10.322529,7.88518697e-03
68,0,2.65485693,-10.599298,9.35729430e-03
69,0,2.71928993,-10.859598,1.00611440e-02
70,0,2.78372276,-11.100614,1.00339002e-02
71,0,2.84815576,-11.320138,9.38464623e-03
72,0,2.91258876,-11.516590,8.26302176e-03
73,0,2.97702175,-11.688792,6.83513385e-03
74,0,3.04145475,-11.835792,5.26755848e-03
75,0,3.10588775,-11.956914,3.71768057e-03
76,0,3.17032058,-12.051610,2.32427923e-03
77,0,3.23475363,-12.119498,1.20212145e-03
78,0,3.29918661,-12.160320,4.37764172e-04
79,0,3.36361957,-12.174008,8.56714679e-05
80,0,3.36361957,-12.174008,8.56714823e-05
81,0,3.41622887,-12.164855,8.54873373e-05
82,0,3.46883817,-12.137635,8.50549046e-05
83,0,3.52144747,-12.092341,8.43647955e-05
84,0,3.57405686,-12.029118,8.33969264e-05
