k_index,band_index,k_distance,energy_eV,weight
0,0,0.00000000,-12.174008,3.61202376e-09
1,0,0.06074799,-12.161831,7.31299750e-06
2,0,0.12149598,-12.125518,3.28599370e-05
3,0,0.18224397,-12.065039,8.73266462e-05
4,0,0.24299205,-11.980516,1.87892133e-04
5,0,0.30373983,-11.871987,3.57269607e-04
6,0,0.36448784,-11.739760,6.22689908e-04
7,0,0.42523585,-11.583992,1.01418969e-03
8,0,0.48598386,-11.404888,1.56311981e-03
9,0,0.54673188,-11.202855,2.30046599e-03
10,0,0.60747989,-10.978205,3.25500414e-03
11,0,0.66822790,-10.731338,4.45151959e-03
12,0,0.72897591,-10.462806,5.90997245e-03
13,0,0.78972392,-10.173086,7.64322795e-03
14,0,0.85047193,-9.862951,9.65676325e-03
15,0,0.91121971,-9.532994,1.19471885e-02
16,0,0.97196773,-9.184204,1.45044291e-02
17,0,1.03271574,-8.817441,1.73087489e-02
18,0,1.09346375,-8.433770,2.03334226e-02
19,0,1.15421176,-8.034362,3.14299297e-03
20,0,1.15421176,-8.034362,3.14376556e-03
21,0,1.18458576,-8.033320,3.85147518e-03
22,0,1.21495976,-8.030216,5.96766861e-03
23,0,1.24533376,-8.025095,9.49797691e-03
24,0,1.27570776,-8.018102,1.42453288e-02
25,0,1.30608176,-8.009363,2.01138690e-02
26,0,1.33645576,-7.999066,2.69532441e-02
27,0,1.36682976,-7.987477,3.43759861e-02
28,0,1.39720381,-7.974810,4.21667210e-02
29,0,1.42757781,-7.961386,5.04216139e-02
30,0,1.45795159,-7.947528,5.73874130e-02
31,0,1.48832560,-7.933662,6.51221493e-02
32,0,1.51869960,-7.920150,7.18442627e-02
33,0,1.54907361,-7.907380,7.65786629e-02
34,0,1.57944761,-7.895736,7.58597384e-02
35,0,1.60982162,-7.885624,5.81857995e-02
36,0,1.64019563,-7.877365,1.70789018e-02
37,0,1.67056963,-7.871244,6.27184031e-04
38,0,1.70094364,-7.867476,2.58339828e-03
39,0,1.73131764,-7.866182,8.94834541e-03
40,0,1.73131764,-7.866182,8.91941471e-03
41,0,1.75279515,-7.924879,6.44879602e-02
42,0,1.77427297,-7.980461,6.46797605e-02
43,0,1.79575048,-8.032927,6.48592736e-02
44,0,1.81722830,-8.082250,6.50324542e-02
45,0,1.83870581,-8.128431,6.51959950e-02
46,0,1.86018364,-8.171462,6.53496299e-02
47,0,1.88166114,-8.211334,6.54931100e-02
48,0,1.90313897,-8.248035,6.56263350e-02
49,0,1.92461647,-8.281571,6.57488719e-02
50,0,1.94609430,-8.311938,6.58605250e-02
51,0,1.96757180,-8.339113,6.59614032e-02
52,0,1.98904963,-8.363101,6.60512112e-02
53,0,2.01052713,-8.383910,6.61283628e-02
54,0,2.03200496,-8.401513,6.61956264e-02
55,0,2.05348246,-8.415920,6.62514704e-02
56,0,2.07496029,-8.427121,6.62964047e-02
57,0,2.09643779,-8.435128,6.63291230e-02
58,0,2.11791562,-8.439933,6.63502129e-02
59,0,2.13939312,-8.441535,6.63598028e-02
60,0,2.13939312,-8.441535,6.63598084e-02
61,0,2.20382612,-8.639944,7.43707487e-02
62,0,2.26825912,-8.879154,7.65152848e-02
63,0,2.33269211,-9.149303,7.32529158e-02
64,0,2.39712495,-9.438544,6.61144000e-02
65,0,2.46155794,-9.736095,5.68180220e-02
66,0,2.52599094,-10.033039,4.67842360e-02
67,0,2.59042394,-10.322529,3.70296516e-02
68,0,2.65485693,-10.599298,2.81857028e-02
69,0,2.71928993,-10.859598,2.05942500e-02
70,0,2.78372276,-11.100614,1.43869517e-02
71,0,2.84815576,-11.320138,9.54687982e-03
72,0,2.91258876,-11.516590,5.96134025e-03
73,0,2.97702175,-11.688792,3.45608487e-03
74,0,3.04145475,-11.835792,1.82382922e-03
75,0,3.10588775,-11.956914,8.50878865e-04
76,0,3.17032058,-12.051610,3.35267738e-04
77,0,3.23475363,-12.119498,1.02220178e-04
78,0,3.29918661,-12.160320,1.84164914e-05
79,0,3.36361957,-12.174008,3.61204462e-09
80,0,3.36361957,-12.174008,3.61206489e-09
81,0,3.41622887,-12.164855,1.52648513e-05
82,0,3.46883817,-12.137635,6.09943643e-05
83,0,3.52144747,-12.092341,1.37039488e-04
84,0,3.57405686,-12.029118,2.43165162e-04
85,0,3.62666598,-11.948130,3.79082565e-04
86,0,3.67927530,-11.849741,5.44503429e-04
87,0,3.73188462,-11.734281,7.39192757e-04
88,0,3.78449394,-11.602234,9.63127153e-04
89,0,3.83710326,-11.454415,1.21636510e-03
90,0,3.88971258,-11.291718,1.49954647e-03
91,0,3.94232191,-11.115499,1.81382339e-03
92,0,3.99493123,-10.927719,2.16104610e-03
93,0,4.04754055,-10.731246,2.54372544e-03
94,0,4.10014987,-10.530251,2.96430778e-03
95,0,4.15275899,-10.331492,3.42199185e-03
96,0,4.20536831,-10.145155,3.90594321e-03
97,0,4.25797763,-9.986820,4.37760553e-03
98,0,4.31058696,-9.877355,4.74895108e-03
99,0,4.36319628,-9.837738,4.89488160e-03
0,1,0.00000000,-0.221237,4.17661141e-10
1,1,0.06074799,-0.304028,1.11767208e-01
2,1,0.12149598,-0.533108,1.03002471e-01
3,1,0.18224397,-0.861308,9.35181573e-02
4,1,0.24299205,-1.249585,8.51933957e-02
5,1,0.30373983,-1.673052,7.82745649e-02
6,1,0.36448784,-2.117453,7.25063842e-02
7,1,0.42523585,-2.574406,6.75722530e-02
8,1,0.48598386,-3.038851,6.32120034e-02
9,1,0.54673188,-3.507869,5.92237170e-02
10,1,0.60747989,-3.979083,5.54632971e-02
11,1,0.66822790,-4.451056,5.18328388e-02
12,1,0.72897591,-4.921378,4.82497467e-02
13,1,0.78972392,-5.388366,4.46785506e-02
14,1,0.85047193,-5.851013,4.10959217e-02
15,1,0.91121971,-6.307241,3.75056530e-02
16,1,0.97196773,-6.755448,3.39251411e-02
17,1,1.03271574,-7.193728,3.03806306e-02
18,1,1.09346375,-7.620536,2.69077800e-02
19,1,1.15421176,-8.034362,4.39481044e-02
20,1,1.15421176,-8.034362,4.39473316e-02
21,1,1.18458576,-8.033320,4.34277883e-02
22,1,1.21495976,-8.030216,4.18752738e-02
23,1,1.24533376,-8.025095,3.92822434e-02
24,1,1.27570776,-8.018102,3.58405632e-02
25,1,1.30608176,-8.009363,3.16412270e-02
26,1,1.33645576,-7.999066,2.68276201e-02
27,1,1.36682976,-7.987477,2.17773025e-02
28,1,1.39720381,-7.974810,1.66998926e-02
29,1,1.42757781,-7.961386,1.14856699e-02
30,1,1.45795159,-7.947528,7.87689598e-03
31,1,1.48832560,-7.933662,3.80326089e-03
32,1,1.51869960,-7.920150,1.02972488e-03
33,1,1.54907361,-7.907380,5.21014893e-04
34,1,1.57944761,-7.895736,5.72430242e-03
35,1,1.60982162,-7.885624,2.81213203e-02
36,1,1.64019563,-7.877365,7.41688856e-02
37,1,1.67056963,-7.871244,9.57537308e-02
38,1,1.70094364,-7.867476,9.90938889e-02
39,1,1.73131764,-7.866182,9.81556977e-02
40,1,1.73131764,-7.866182,9.81846257e-02
41,1,1.75279515,-7.808596,4.82503722e-02
42,1,1.77427297,-7.756296,5.38517957e-02
43,1,1.79575048,-7.709236,5.95361924e-02
44,1,1.81722830,-7.667276,6.52167648e-02
45,1,1.83870581,-7.630209,7.08090022e-02
46,1,1.86018364,-7.597762,7.62340655e-02
47,1,1.88166114,-7.569606,8.14224907e-02
48,1,1.90313897,-7.545351,8.63165452e-02
49,1,1.92461647,-7.524711,9.08661367e-02
50,1,1.94609430,-7.507363,9.50344048e-02
51,1,1.96757180,-7.492793,9.87973018e-02
52,1,1.98904963,-7.480754,1.02135062e-01
53,1,2.01052713,-7.470955,1.05035538e-01
54,1,2.03200496,-7.463114,1.07492251e-01
55,1,2.05348246,-7.457014,1.09501739e-01
56,1,2.07496029,-7.452412,1.11068006e-01
57,1,2.09643779,-7.449271,1.12181188e-01
58,1,2.11791562,-7.447428,1.12847248e-01
59,1,2.13939312,-7.446815,1.13067565e-01
60,1,2.13939312,-7.446815,1.13067571e-01
61,1,2.20382612,-7.247460,9.55544675e-02
