k_index,band_index,k_distance,energy_eV,weight
27,1,1.36682976,-7.987477,2.01026993e-02
28,1,1.39720381,-7.974810,2.46200377e-02
29,1,1.42757781,-7.961386,2.97553907e-02
30,1,1.45795159,-7.947528,3.18425923e-02
31,1,1.48832560,-7.933662,3.66812277e-02
32,1,1.51869960,-7.920150,4.15213629e-02
33,1,1.54907361,-7.907380,4.78522119e-02
34,1,1.57944761,-7.895736,5.74870211e-02
35,1,1.60982162,-7.885624,7.13752114e-02
36,1,1.64019563,-7.877365,7.13146678e-02
37,1,1.67056963,-7.871244,5.27603412e-02
38,1,1.70094364,-7.867476,3.70043124e-02
39,1,1.73131764,-7.866182,2.80788980e-02
40,1,1.73131764,-7.866182,2.81027854e-02
41,1,1.75279515,-7.808596,3.37057554e-02
42,1,1.77427297,-7.756296,2.86669052e-02
43,1,1.79575048,-7.709236,2.40625293e-02
44,1,1.81722830,-7.667276,1.99321967e-02
45,1,1.83870581,-7.630209,1.62923802e-02
46,1,1.86018364,-7.597762,1.31387012e-02
47,1,1.88166114,-7.569606,1.04490546e-02
48,1,1.90313897,-7.545351,8.18672327e-03
49,1,1.92461647,-7.524711,6.31436043e-03
50,1,1.94609430,-7.507363,4.78095473e-03
51,1,1.96757180,-7.492793,3.54510708e-03
52,1,1.98904963,-7.480754,2.56033131e-03
53,1,2.01052713,-7.470955,1.78673552e-03
54,1,2.03200496,-7.463114,1.18966743e-03
55,1,2.05348246,-7.457014,7.39879552e-04
56,1,2.07496029,-7.452412,4.13275353e-04
57,1,2.09643779,-7.449271,1.93287106e-04
58,1,2.11791562,-7.447428,6.64355520e-05
59,1,2.13939312,-7.446815,2.52438442e-05
60,1,2.13939312,-7.446815,2.52438547e-05
61,1,2.20382612,-7.247460,2.47976206e-05
62,1,2.26825912,-7.019417,2.42846381e-05
63,1,2.33269211,-6.762998,2.37020843e-05
64,1,2.39712495,-6.478367,2.30580717e-05
65,1,2.46155794,-6.166004,2.23412969e-05
