k_index,band_index,k_distance,energy_eV,weight
0,0,0.00000000,-12.174008,1.28785599e-04
1,0,0.06074799,-12.161831,3.21840810e-04
2,0,0.12149598,-12.125518,8.95255445e-04
3,0,0.18224397,-12.065039,1.83089662e-03
4,0,0.24299205,-11.980516,3.09920381e-03
5,0,0.30373983,-11.871987,4.65949559e-03
6,0,0.36448784,-11.739760,6.46385308e-03
7,0,0.42523585,-11.583992,8.45503276e-03
8,0,0.48598386,-11.404888,1.05702739e-02
9,0,0.54673188,-11.202855,1.27442003e-02
10,0,0.60747989,-10.978205,1.49088716e-02
11,0,0.66822790,-10.731338,1.69966166e-02
12,0,0.72897591,-10.462806,1.89444460e-02
13,0,0.78972392,-10.173086,2.06926741e-02
14,0,0.85047193,-9.862951,2.21878949e-02
15,0,0.91121971,-9.532994,2.33844666e-02
16,0,0.97196773,-9.184204,2.42502385e-02
17,0,1.03271574,-8.817441,2.47613238e-02
18,0,1.09346375,-8.433770,2.49050938e-02
19,0,1.15421176,-8.034362,4.93346177e-02
20,0,1.15421176,-8.034362,4.93345417e-02
21,0,1.18458576,-8.033320,4.88177131e-02
22,0,1.21495976,-8.030216,4.72799762e-02
23,0,1.24533376,-8.025095,4.47015872e-02
24,0,1.27570776,-8.018102,4.12513141e-02
25,0,1.30608176,-8.009363,3.69979132e-02
26,0,1.33645576,-7.999066,3.20641085e-02
27,0,1.36682976,-7.987477,2.67738038e-02
28,0,1.39720381,-7.974810,2.13153172e-02
29,0,1.42757781,-7.961386,1.55992548e-02
30,0,1.45795159,-7.947528,1.12426712e-02
31,0,1.48832560,-7.933662,6.32283237e-03
32,0,1.51869960,-7.920150,2.42117273e-03
33,0,1.54907361,-7.907380,1.25436195e-04
34,0,1.57944761,-7.895736,1.71810914e-03
35,0,1.60982162,-7.885624,1.47009472e-02
36,0,1.64019563,-7.877365,4.41254347e-02
37,0,1.67056963,-7.871244,5.91781566e-02
38,0,1.70094364,-7.867476,6.22976221e-02
39,0,1.73131764,-7.866182,6.27544736e-02
40,0,1.73131764,-7.866182,6.27783579e-02
41,0,1.75279515,-7.924879,3.49236343e-02
42,0,1.77427297,-7.980461,3.54776325e-02
43,0,1.79575048,-8.032927,3.59980503e-02
44,0,1.81722830,-8.082250,3.64870425e-02
45,0,1.83870581,-8.128431,3.69437131e-02
46,0,1.86018364,-8.171462,3.73682247e-02
47,0,1.88166114,-8.211334,3.77607472e-02
48,0,1.90313897,-8.248035,3.81215613e-02
49,0,1.92461647,-8.281571,3.84504181e-02
50,0,1.94609430,-8.311938,3.87492217e-02
51,0,1.96757180,-8.339113,3.90148300e-02
52,0,1.98904963,-8.363101,3.92489462e-02
53,0,2.01052713,-8.383910,3.94498945e-02
54,0,2.03200496,-8.401513,3.96212006e-02
55,0,2.05348246,-8.415920,3.97611982e-02
56,0,2.07496029,-8.427121,3.98696837e-02
57,0,2.09643779,-8.435128,3.99471745e-02
58,0,2.11791562,-8.439933,3.99934230e-02
59,0,2.13939312,-8.441535,4.00086750e-02
60,0,2.13939312,-8.441535,4.00086651e-02
61,0,2.20382612,-8.639944,1.69657149e-02
62,0,2.26825912,-8.879154,4.18320023e-03
63,0,2.33269211,-9.149303,6.14180631e-05
64,0,2.39712495,-9.438544,1.53887429e-03
65,0,2.46155794,-9.736095,5.68940362e-03
66,0,2.52599094,-10.033039,1.04167846e-02
67,0,2.59042394,-10.322529,1.44756907e-02
68,0,2.65485693,-10.599298,1.72570341e-02
69,0,2.71928993,-10.859598,1.85679663e-02
70,0,2.78372276,-11.100614,1.84778212e-02
